Org ID|Org Name|Station ID|WBID|Act Date|Act Time|Act Type|Act Category|Act Depth|Depth Units|Relative Depth|Characteristic|Result Value|Result Units|VQ|Analysis Date|Analysis Time|Procedure Name|Comment|Sample Fraction|MDL|MDL Units|PQL|Medium|Matrix
21FLDADE|Dade Environmental Resource Management (Florida)|BB37|6001|07/09/2015|11:35:00 AM|Field Msr/Obs|Routine Msr/Obs|1.844|m||Temperature, water|30.57|deg C|D|07/09/2015|11:35:00 AM|2550||Total||||Water|Surface Water
21FLDADE|Dade Environmental Resource Management (Florida)|BB37|6001|07/09/2015|11:35:00 AM|Field Msr/Obs|Routine Msr/Obs|1.844|m||Specific conductance|56881|umho/cm|D|07/09/2015|11:35:00 AM|2510||Total||||Water|Surface Water
21FLDADE|Dade Environmental Resource Management (Florida)|BB37|6001|07/09/2015|11:35:00 AM|Field Msr/Obs|Routine Msr/Obs|1.844|m||Dissolved oxygen (DO)|6.94|mg/l|D|07/09/2015|11:35:00 AM|4500-O-G||Total||||Water|Surface Water
21FLDADE|Dade Environmental Resource Management (Florida)|BB37|6001|07/09/2015|11:35:00 AM|Field Msr/Obs|Routine Msr/Obs|1.844|m||Depth|1.844|m|D|07/09/2015|11:35:00 AM|FP||Total||||Water|Surface Water
21FLDADE|Dade Environmental Resource Management (Florida)|BB37|6001|07/09/2015|11:35:00 AM|Field Msr/Obs|Routine Msr/Obs|1.844|m||pH|8.06|None|D|07/09/2015|11:35:00 AM|4500-H||Total||||Water|Surface Water
21FLDADE|Dade Environmental Resource Management (Florida)|BISC127|6001|07/09/2015|11:15:00 AM|Sample|Routine Sample||||Phosphorus as PO4|0.005|mg/l|IJ|07/22/2015|01:10:00 PM|365.1|QJ16: Matrix spike duplicate recovery was outside laboratory control limit. The RPD between Matrix spike and spike duplicate is in acceptable range.|Total|0.002|mg/l|0.008|Water|Surface Water
21FLDADE|Dade Environmental Resource Management (Florida)|BISC127|6001|07/09/2015|11:15:00 AM|Sample|Routine Sample||||Nitrogen, ammonia (NH3) as NH3|0.09|mg/l||07/24/2015|11:43:00 AM|350.1||Total|0.01|mg/l|0.04|Water|Surface Water
21FLDADE|Dade Environmental Resource Management (Florida)|BISC127|6001|07/09/2015|11:15:00 AM|Sample|Routine Sample|0.1|m||Chlorophyll a, free of pheophytin|0.38|ug/l|I|07/10/2015|01:39:00 PM|445||Total|0.16|ug/l|0.64|Water|Surface Water
21FLDADE|Dade Environmental Resource Management (Florida)|BISC127|6001|07/09/2015|11:15:00 AM|Sample|Routine Sample||||Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N|*Non-detect||U|07/27/2015|11:19:00 AM|353.2||Total|0.01|mg/l|0.04|Water|Surface Water
21FLDADE|Dade Environmental Resource Management (Florida)|BISC127|6001|07/09/2015|11:15:00 AM|Sample|Routine Sample||||Turbidity|0.3|NTU|I|07/10/2015|09:29:00 AM|180.1||Total|0.1|NTU|0.4|Water|Surface Water
21FLDADE|Dade Environmental Resource Management (Florida)|BISC127|6001|07/09/2015|11:15:00 AM|Sample|Routine Sample||||Nitrogen, Kjeldahl|0.24|mg/l|I|07/20/2015|05:34:00 PM|351.2||Total|0.08|mg/l|0.32|Water|Surface Water
21FLDADE|Dade Environmental Resource Management (Florida)|BISC127|6001|07/09/2015|11:15:00 AM|Sample|Routine Sample||||Phosphorus, orthophosphate as PO4|0.002|mg/l|I!|07/09/2015|02:56:00 PM|365.1||Total|0.002|mg/l|0.008|Water|Surface Water
21FLDADE|Dade Environmental Resource Management (Florida)|BISC127|6001|07/09/2015|11:14:00 AM|Field Msr/Obs|Replicate Msr/Obs|0.1|m||Salinity|40.99|ppth|D!|07/09/2015|11:14:00 AM|2520-B||Total||||Water|Surface Water
21FLDADE|Dade Environmental Resource Management (Florida)|BISC127|6001|07/09/2015|11:14:00 AM|Field Msr/Obs|Replicate Msr/Obs|0.1|m||Dissolved oxygen (DO)|5.79|mg/l|D|07/09/2015|11:14:00 AM|4500-O-G||Total||||Water|Surface Water
21FLDADE|Dade Environmental Resource Management (Florida)|BISC127|6001|07/09/2015|11:14:00 AM|Field Msr/Obs|Replicate Msr/Obs|0.1|m||Temperature, water|30.4|deg C|D|07/09/2015|11:14:00 AM|2550||Total||||Water|Surface Water
21FLDADE|Dade Environmental Resource Management (Florida)|BISC127|6001|07/09/2015|11:14:00 AM|Field Msr/Obs|Replicate Msr/Obs|0.1|m||pH|8.06|None|D|07/09/2015|11:14:00 AM|4500-H||Total||||Water|Surface Water
21FLDADE|Dade Environmental Resource Management (Florida)|BISC127|6001|07/09/2015|11:14:00 AM|Field Msr/Obs|Replicate Msr/Obs|0.1|m||Specific conductance|61263|umho/cm|D!|07/09/2015|11:14:00 AM|2510||Total||||Water|Surface Water
21FLDADE|Dade Environmental Resource Management (Florida)|BISC127|6001|07/09/2015|11:14:00 AM|Field Msr/Obs|Replicate Msr/Obs|0.1|m||Dissolved oxygen saturation|96.5|%|D|07/09/2015|11:14:00 AM|4500-O-G||Total||||Water|Surface Water
