"","source","site","slope","n_values","mean","min","max","coefficient.of.variation","significant_slope","pvalue"
"75","SFER","AC1",NA,1,0.396,0.396,0.396,NA,NA,NA
"76","SFER","AC2",NA,2,0.6585,0.648,0.669,0.0225501023613022,NA,NA
"77","SFER","AC3",NA,2,1.733,1.412,2.054,0.261951848541121,NA,NA
"78","SFER","AC4",NA,2,0.361,0.336,0.386,0.0979372273111561,NA,NA
"79","SFER","AC5",NA,2,0.353,0.237,0.469,0.464727402932802,NA,NA
"80","SFER","AC6",NA,2,0.3895,0.281,0.498,0.393946525076973,NA,NA
"81","SFER","AMI1",0.2015,48,NA,NA,NA,NA,NA,0.265510388953874
"82","SFER","AMI2",0.02725,53,NA,NA,NA,NA,NA,0.919264206622799
"83","SFER","AMI3",0.0495,54,NA,NA,NA,NA,NA,0.623928463208525
"84","SFER","AMI4",-0.0255,51,NA,NA,NA,NA,NA,0.433848065766439
"85","SFER","AMI5",-0.01875,52,NA,NA,NA,NA,NA,0.433848065766439
"86","SFER","AMI6",-0.014,52,NA,NA,NA,NA,NA,0.599510178560003
"87","SFER","AMI7",-0.00274999999999999,54,NA,NA,NA,NA,NA,1
"88","SFER","AMI8",0,54,NA,NA,NA,NA,NA,1
"89","SFER","AMI9",0.00400000000000001,55,NA,NA,NA,NA,NA,1
"90","SFER","BG1",0.427,47,NA,NA,NA,NA,NA,0.333666485082971
"91","SFER","BG10",NA,7,0.0777142857142857,0.025,0.213,1.03855847553609,NA,NA
"92","SFER","BG11",NA,8,0.152625,0.027,0.484,1.22092025417676,NA,NA
"93","SFER","BG12",NA,10,0.2048,0.018,0.819,1.34309556584339,NA,NA
"94","SFER","BG13",NA,13,NA,NA,NA,NA,NA,NA
"95","SFER","BG14",NA,9,NA,NA,NA,NA,NA,NA
"96","SFER","BG15",NA,13,NA,NA,NA,NA,NA,NA
"97","SFER","BG16",NA,11,0.103181818181818,0.023,0.38,1.15801650754771,NA,NA
"98","SFER","BG17",NA,15,NA,NA,NA,NA,NA,NA
"99","SFER","BG18",NA,11,0.0778181818181818,0.011,0.39,1.5245747836784,NA,NA
"100","SFER","BG2",0.1781,59,NA,NA,NA,NA,NA,0.0926958025578126
"101","SFER","BG20",NA,14,NA,NA,NA,NA,NA,NA
"102","SFER","BG3",0.06115,61,NA,NA,NA,NA,NA,0.0675772630558706
"103","SFER","BG4",0.1025,63,NA,NA,NA,NA,0.1025,0.02426341403567
"104","SFER","BG6",0.068,23,NA,NA,NA,NA,NA,0.842513184375501
"105","SFER","BG7",-0.007,27,NA,NA,NA,NA,NA,1
"106","SFER","BG8",NA,6,0.126166666666667,0.023,0.296,1.00471743885438,NA,NA
"107","SFER","BG9",NA,6,0.0813333333333333,0.016,0.241,1.19637318089308,NA,NA
"108","SFER","BK1",NA,2,0.27,0.15,0.39,0.628539361054709,NA,NA
"109","SFER","CAL1",0.285,46,NA,NA,NA,NA,0.285,0.00372913363819625
"110","SFER","CAL2",0.15375,68,NA,NA,NA,NA,0.15375,0.000325065739492929
"111","SFER","CAL3",0.067125,68,NA,NA,NA,NA,0.067125,0.0378377267857307
"112","SFER","CAL4",0.08455,69,NA,NA,NA,NA,0.08455,0.00223529716927186
"113","SFER","CAL5",0.065,69,NA,NA,NA,NA,0.065,0.0428436018280164
"114","SFER","CAL6",0.007825,60,NA,NA,NA,NA,NA,0.814782638318365
"115","SFER","CAL7",NA,2,0.267,0.256,0.278,0.058263480097768,NA,NA
"116","SFER","CAL8",NA,2,0.129,0,0.258,1.41421356237309,NA,NA
"117","SFER","CALA",NA,2,0.4625,0.281,0.644,0.554983268261009,NA,NA
"118","SFER","CK1",NA,1,0.587,0.587,0.587,NA,NA,NA
"119","SFER","CK2",NA,1,0.163,0.163,0.163,NA,NA,NA
"120","SFER","CW1",0.0156249999999999,23,NA,NA,NA,NA,NA,1
"121","SFER","CW2",0.0825,32,NA,NA,NA,NA,NA,0.745170822204941
"122","SFER","CW3",0.00590000000000001,37,NA,NA,NA,NA,NA,0.933891146033646
"123","SFER","CW4",0.04115,32,NA,NA,NA,NA,NA,0.629485854316783
"124","SFER","CW5",-0.0302,23,NA,NA,NA,NA,NA,0.111611768298292
"125","SFER","CW6",-0.0305,23,NA,NA,NA,NA,NA,0.376759117811582
"126","SFER","CW7",-0.304,21,NA,NA,NA,NA,NA,0.411313791776259
"127","SFER","Caseyhole",NA,2,0.2595,0.052,0.467,1.13082587357386,NA,NA
"128","SFER","EB1",NA,2,0.925,0.916,0.934,0.0137599157420085,NA,NA
"129","SFER","EB2",NA,2,0.2835,0.267,0.3,0.0823087258524023,NA,NA
"130","SFER","EH07",NA,2,1.096,0.926,1.266,0.219357943068819,NA,NA
"131","SFER","EH08",NA,2,1.641,1.023,2.259,0.532592310509794,NA,NA
"132","SFER","EKIN",0.00233333333333333,53,NA,NA,NA,NA,NA,0.810181236410474
"133","SFER","EKMID",0.0045,55,NA,NA,NA,NA,NA,0.220220251354882
"134","SFER","EKOFF",0.001,55,NA,NA,NA,NA,NA,0.938744999779746
"135","SFER","GP1",NA,8,1.8935,0.16,8.985,1.57203633614787,NA,NA
"136","SFER","GP1.5",NA,2,0.448,0,0.896,1.4142135623731,NA,NA
"137","SFER","GP2",NA,8,NA,NA,NA,NA,NA,NA
"138","SFER","GP3",NA,8,NA,NA,NA,NA,NA,NA
"139","SFER","GP4",NA,8,0.1925,0.038,0.514,0.794434050636088,NA,NA
"140","SFER","GP5",0.0586,73,NA,NA,NA,NA,0.0586,0.00189869406911301
"141","SFER","GS",NA,2,0.271,0.046,0.496,1.17416255178578,NA,NA
"142","SFER","Glider",NA,4,0.5095,0.1,1.034,0.823255048809979,NA,NA
"143","SFER","HB1",NA,1,0.383,0.383,0.383,NA,NA,NA
"144","SFER","HB2",NA,2,0.537,0.509,0.565,0.0737392546488764,NA,NA
"145","SFER","HB3",NA,2,1.126,1.069,1.183,0.0715898517364711,NA,NA
"146","SFER","HB4",NA,2,1.2285,1.187,1.27,0.0477735961241216,NA,NA
"147","SFER","HB5",NA,2,0.35,0.279,0.421,0.286883322652828,NA,NA
"148","SFER","HB6",NA,2,0.547,0.499,0.595,0.124099179147913,NA,NA
"149","SFER","Junkpile",NA,2,1.1365,1.116,1.157,0.0255093515430254,NA,NA
"150","SFER","KW1",-0.055375,67,NA,NA,NA,NA,NA,0.170461271558347
"151","SFER","KW2",0.022625,65,NA,NA,NA,NA,NA,0.608286372750221
"152","SFER","KW3",-0.0113333333333333,34,NA,NA,NA,NA,NA,0.756683645010674
"153","SFER","KW4",0.00640000000000001,65,NA,NA,NA,NA,NA,0.66738740749608
"154","SFER","L1",NA,18,NA,NA,NA,NA,NA,NA
"155","SFER","L3",NA,18,NA,NA,NA,NA,NA,NA
"156","SFER","L5",NA,18,NA,NA,NA,NA,NA,NA
"157","SFER","L7",NA,18,NA,NA,NA,NA,NA,NA
"158","SFER","L9",NA,21,NA,NA,NA,NA,NA,NA
"159","SFER","M01",NA,1,0.08,0.08,0.08,NA,NA,NA
"160","SFER","M02",NA,1,0.096,0.096,0.096,NA,NA,NA
"161","SFER","M03",NA,1,0.067,0.067,0.067,NA,NA,NA
"162","SFER","M04",NA,1,0.196,0.196,0.196,NA,NA,NA
"163","SFER","M05",NA,1,0.199,0.199,0.199,NA,NA,NA
"164","SFER","MR",0.0055,113,NA,NA,NA,NA,0.0055,0.00870604113371689
"165","SFER","Mudhole",NA,2,0.0675,0.063,0.072,0.0942809041582063,NA,NA
"166","SFER","NaplesBlueHole",NA,2,0.064,0.044,0.084,0.441941738241592,NA,NA
"167","SFER","PLUME",NA,3,0.199666666666667,0.02,0.464,1.17092902177676,NA,NA
"168","SFER","ROME4",-0.24,22,NA,NA,NA,NA,NA,0.784191229401619
"169","SFER","ROME5",0.2665,22,NA,NA,NA,NA,NA,0.411313791776259
"170","SFER","RP1",0.106,52,NA,NA,NA,NA,NA,0.140211413916641
"171","SFER","RP2",0.0311666666666667,68,NA,NA,NA,NA,NA,0.373675845322306
"172","SFER","RP3",0.0036,70,NA,NA,NA,NA,NA,0.952911487272246
"173","SFER","RP4",0.08675,70,NA,NA,NA,NA,0.08675,0.00117652308201378
"174","SFER","RedTide",NA,2,0.83,0.74,0.92,0.153348458570577,NA,NA
"175","SFER","TB1",0.1205,51,NA,NA,NA,NA,NA,0.232922578041684
"176","SFER","TB1 ",NA,1,0.815,0.815,0.815,NA,NA,NA
"177","SFER","TB10",-0.008,54,NA,NA,NA,NA,NA,0.465512169874187
"178","SFER","TB11",NA,6,NA,NA,NA,NA,NA,NA
"179","SFER","TB12",NA,3,0.233,0.098,0.389,0.629322716387121,NA,NA
"180","SFER","TB13",NA,4,0.4835,0.045,0.92,0.739282803695281,NA,NA
"181","SFER","TB2",0.16075,60,NA,NA,NA,NA,NA,0.0528075114161136
"182","SFER","TB3",0.15475,61,NA,NA,NA,NA,0.15475,0.0149862065807396
"183","SFER","TB4",0.0507500000000001,60,NA,NA,NA,NA,NA,0.250669394755074
"184","SFER","TB5",0.0165,59,NA,NA,NA,NA,NA,0.446872820710831
"185","SFER","TB6",NA,3,1.14,0.578,1.711,0.496976856293109,NA,NA
"186","SFER","TB7",NA,4,1.167,0.368,3.289,1.21618455858866,NA,NA
"187","SFER","TB8",NA,4,0.59025,0.247,1.12,0.646056461886959,NA,NA
"188","SFER","TB9",NA,5,0.4592,0.378,0.57,0.177635485958941,NA,NA
"189","SFER","TBA",NA,2,1.4,1.147,1.653,0.255568593771709,NA,NA
"190","SFER","TBB",NA,2,0.831,0.694,0.968,0.233149528333471,NA,NA
"191","SFER","TBC",NA,2,0.812,0.672,0.952,0.243829924547085,NA,NA
"192","SFER","UKIN",0.00647222222222222,54,NA,NA,NA,NA,NA,0.0653986481324034
"193","SFER","UKMID",0.002,54,NA,NA,NA,NA,NA,0.282461937518299
"194","SFER","UKOFF",0.0016,55,NA,NA,NA,NA,NA,0.495881033938093
"195","SFER","V1",0.1148,57,NA,NA,NA,NA,0.1148,0.0379978566558631
