"","X","datetime","source","site","analyte","value","units","latitude","longitude","sample_depth"
"1","...123302","'10/31/2002'","BROWARD","90","Ammonia_plus_Ammonium",0.076,"mg/l",NA,NA,NA
"2","...123320","'10/31/2002'","BROWARD","47","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"3","...123332","'10/31/2002'","BROWARD","41","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"4","...123333","'10/31/2002'","BROWARD","41","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"5","...123347","'10/31/2002'","BROWARD","40","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"6","...123358","'10/31/2002'","BROWARD","38","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"7","...123370","'10/31/2002'","BROWARD","24","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"8","...123379","'10/31/2002'","BROWARD","31","Ammonia_plus_Ammonium",0.204,"mg/l",NA,NA,NA
"9","...123393","'10/31/2002'","BROWARD","39","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"10","...123406","'10/31/2002'","BROWARD","32","Ammonia_plus_Ammonium",0.272,"mg/l",NA,NA,NA
"11","...123409","'10/31/2002'","BROWARD","32","Ammonia_plus_Ammonium",0.265,"mg/l",NA,NA,NA
"12","...123428","'10/31/2002'","BROWARD","28","Ammonia_plus_Ammonium",0.131,"mg/l",NA,NA,NA
"13","...123442","'10/31/2002'","BROWARD","27","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"14","...123455","'10/31/2002'","BROWARD","26","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"15","...123466","'10/31/2002'","BROWARD","25","Ammonia_plus_Ammonium",0.0679,"mg/l",NA,NA,NA
"16","...123469","'10/31/2002'","BROWARD","29","Ammonia_plus_Ammonium",0.312,"mg/l",NA,NA,NA
"17","...123485","'10/31/2002'","BROWARD","23","Ammonia_plus_Ammonium",0.289,"mg/l",NA,NA,NA
"18","...123497","'10/31/2002'","BROWARD","16","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"19","...123510","'10/31/2002'","BROWARD","15","Ammonia_plus_Ammonium",0.0734,"mg/l",NA,NA,NA
"20","...123511","'10/31/2002'","BROWARD","22","Ammonia_plus_Ammonium",0.586,"mg/l",NA,NA,NA
"21","...123522","'10/31/2002'","BROWARD","21","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"22","...123538","'10/31/2002'","BROWARD","20","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"23","...123548","'10/31/2002'","BROWARD","19","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"24","...123556","'10/31/2002'","BROWARD","18","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"25","...123574","'10/31/2002'","BROWARD","17","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"26","...123580","'10/30/2002'","BROWARD","33","Ammonia_plus_Ammonium",0.0632,"mg/l",NA,NA,NA
"27","...123593","'10/30/2002'","BROWARD","33","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"28","...123602","'10/30/2002'","BROWARD","110","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"29","...123618","'10/30/2002'","BROWARD","109","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"30","...123626","'10/30/2002'","BROWARD","3","Ammonia_plus_Ammonium",0.133,"mg/l",NA,NA,NA
"31","...123638","'10/30/2002'","BROWARD","2","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"32","...123644","'10/30/2002'","BROWARD","6","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"33","...123658","'10/30/2002'","BROWARD","5","Ammonia_plus_Ammonium",0.0911,"mg/l",NA,NA,NA
"34","...123668","'10/30/2002'","BROWARD","36","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"35","...123685","'10/30/2002'","BROWARD","35","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"36","...123687","'10/30/2002'","BROWARD","49","Ammonia_plus_Ammonium",0.0781,"mg/l",NA,NA,NA
"37","...123703","'10/30/2002'","BROWARD","112","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"38","...123718","'10/30/2002'","BROWARD","10","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"39","...123722","'10/30/2002'","BROWARD","14","Ammonia_plus_Ammonium",0.381,"mg/l",NA,NA,NA
"40","...123739","'10/30/2002'","BROWARD","13","Ammonia_plus_Ammonium",0.228,"mg/l",NA,NA,NA
"41","...123749","'10/30/2002'","BROWARD","12","Ammonia_plus_Ammonium",0.105,"mg/l",NA,NA,NA
"42","...123758","'10/30/2002'","BROWARD","89","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"43","...123775","'10/30/2002'","BROWARD","1","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"44","...123780","'10/30/2002'","BROWARD","1","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"45","...123790","'10/30/2002'","BROWARD","7","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"46","...123802","'10/30/2002'","BROWARD","34","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"47","...123808","'10/30/2002'","BROWARD","37","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"48","...123819","'10/30/2002'","BROWARD","11","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"49","...123837","'10/30/2002'","BROWARD","111","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"50","...123849","'10/30/2002'","BROWARD","4","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"51","...123851","'10/30/2002'","BROWARD","4","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"52","...123867","'07/25/2002'","BROWARD","37","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"53","...123876","'07/25/2002'","BROWARD","89","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"54","...123888","'07/25/2002'","BROWARD","18","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"55","...123901","'07/25/2002'","BROWARD","17","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"56","...123916","'07/25/2002'","BROWARD","36","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"57","...123927","'07/25/2002'","BROWARD","24","Ammonia_plus_Ammonium",0.0739,"mg/l",NA,NA,NA
"58","...123932","'07/25/2002'","BROWARD","16","Ammonia_plus_Ammonium",0.182,"mg/l",NA,NA,NA
"59","...123947","'07/25/2002'","BROWARD","32","Ammonia_plus_Ammonium",0.173,"mg/l",NA,NA,NA
"60","...123951","'07/25/2002'","BROWARD","32","Ammonia_plus_Ammonium",0.18,"mg/l",NA,NA,NA
"61","...123960","'07/25/2002'","BROWARD","25","Ammonia_plus_Ammonium",0.202,"mg/l",NA,NA,NA
"62","...123976","'07/25/2002'","BROWARD","26","Ammonia_plus_Ammonium",0.113,"mg/l",NA,NA,NA
"63","...123988","'07/25/2002'","BROWARD","35","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"64","...124001","'07/25/2002'","BROWARD","29","Ammonia_plus_Ammonium",0.158,"mg/l",NA,NA,NA
"65","...124005","'07/25/2002'","BROWARD","27","Ammonia_plus_Ammonium",0.23,"mg/l",NA,NA,NA
"66","...124017","'07/25/2002'","BROWARD","15","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"67","...124033","'07/25/2002'","BROWARD","34","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"68","...124047","'07/25/2002'","BROWARD","23","Ammonia_plus_Ammonium",0.164,"mg/l",NA,NA,NA
"69","...124055","'07/25/2002'","BROWARD","19","Ammonia_plus_Ammonium",0.144,"mg/l",NA,NA,NA
"70","...124062","'07/25/2002'","BROWARD","28","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"71","...124078","'07/25/2002'","BROWARD","33","Ammonia_plus_Ammonium",0.0812,"mg/l",NA,NA,NA
"72","...124091","'07/25/2002'","BROWARD","22","Ammonia_plus_Ammonium",0.466,"mg/l",NA,NA,NA
"73","...124098","'07/25/2002'","BROWARD","33","Ammonia_plus_Ammonium",0.0768,"mg/l",NA,NA,NA
"74","...124111","'07/25/2002'","BROWARD","20","Ammonia_plus_Ammonium",0.175,"mg/l",NA,NA,NA
"75","...124122","'07/25/2002'","BROWARD","90","Ammonia_plus_Ammonium",0.165,"mg/l",NA,NA,NA
"76","...124130","'07/25/2002'","BROWARD","21","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"77","...124146","'07/24/2002'","BROWARD","41","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"78","...124151","'07/24/2002'","BROWARD","41","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"79","...124162","'07/24/2002'","BROWARD","40","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"80","...124179","'07/24/2002'","BROWARD","109","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"81","...124184","'07/24/2002'","BROWARD","14","Ammonia_plus_Ammonium",0.114,"mg/l",NA,NA,NA
"82","...124198","'07/24/2002'","BROWARD","1","Ammonia_plus_Ammonium",0.071,"mg/l",NA,NA,NA
"83","...124206","'07/24/2002'","BROWARD","4","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"84","...124220","'07/24/2002'","BROWARD","13","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"85","...124225","'07/24/2002'","BROWARD","7","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"86","...124235","'07/24/2002'","BROWARD","47","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"87","...124236","'07/24/2002'","BROWARD","3","Ammonia_plus_Ammonium",0.112,"mg/l",NA,NA,NA
"88","...124264","'07/24/2002'","BROWARD","12","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"89","...124277","'07/24/2002'","BROWARD","39","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"90","...124288","'07/24/2002'","BROWARD","11","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"91","...124296","'07/24/2002'","BROWARD","2","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"92","...124302","'07/24/2002'","BROWARD","112","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"93","...124318","'07/24/2002'","BROWARD","6","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"94","...124332","'07/24/2002'","BROWARD","111","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"95","...124344","'07/24/2002'","BROWARD","38","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"96","...124347","'07/24/2002'","BROWARD","5","Ammonia_plus_Ammonium",0.0608,"mg/l",NA,NA,NA
"97","...124356","'07/24/2002'","BROWARD","1","Ammonia_plus_Ammonium",0.0701,"mg/l",NA,NA,NA
"98","...124367","'07/24/2002'","BROWARD","10","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"99","...124388","'07/24/2002'","BROWARD","110","Ammonia_plus_Ammonium",0.137,"mg/l",NA,NA,NA
"100","...124397","'07/24/2002'","BROWARD","31","Ammonia_plus_Ammonium",0.161,"mg/l",NA,NA,NA
"101","...124407","'07/24/2002'","BROWARD","49","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"102","...124421","'04/25/2002'","BROWARD","90","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"103","...124429","'04/25/2002'","BROWARD","47","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"104","...124443","'04/25/2002'","BROWARD","41","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"105","...124455","'04/25/2002'","BROWARD","40","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"106","...124459","'04/25/2002'","BROWARD","38","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"107","...124465","'04/25/2002'","BROWARD","38","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"108","...124481","'04/25/2002'","BROWARD","24","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"109","...124490","'04/25/2002'","BROWARD","31","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"110","...124500","'04/25/2002'","BROWARD","39","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"111","...124520","'04/25/2002'","BROWARD","32","Ammonia_plus_Ammonium",0.103,"mg/l",NA,NA,NA
"112","...124522","'04/25/2002'","BROWARD","28","Ammonia_plus_Ammonium",0.241,"mg/l",NA,NA,NA
"113","...124536","'04/25/2002'","BROWARD","27","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"114","...124554","'04/25/2002'","BROWARD","26","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"115","...124565","'04/25/2002'","BROWARD","25","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"116","...124571","'04/25/2002'","BROWARD","29","Ammonia_plus_Ammonium",0.252,"mg/l",NA,NA,NA
"117","...124583","'04/25/2002'","BROWARD","23","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"118","...124592","'04/25/2002'","BROWARD","16","Ammonia_plus_Ammonium",0.07,"mg/l",NA,NA,NA
"119","...124607","'04/25/2002'","BROWARD","16","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"120","...124616","'04/25/2002'","BROWARD","15","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"121","...124629","'04/25/2002'","BROWARD","22","Ammonia_plus_Ammonium",0.522,"mg/l",NA,NA,NA
"122","...124639","'04/25/2002'","BROWARD","21","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"123","...124651","'04/25/2002'","BROWARD","20","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"124","...124663","'04/25/2002'","BROWARD","19","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"125","...124668","'04/25/2002'","BROWARD","18","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"126","...124677","'04/25/2002'","BROWARD","17","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"127","...124697","'04/24/2002'","BROWARD","33","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"128","...124704","'04/24/2002'","BROWARD","33","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"129","...124714","'04/24/2002'","BROWARD","110","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"130","...124724","'04/24/2002'","BROWARD","109","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"131","...124736","'04/24/2002'","BROWARD","3","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"132","...124743","'04/24/2002'","BROWARD","3","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"133","...124760","'04/24/2002'","BROWARD","2","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"134","...124766","'04/24/2002'","BROWARD","6","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"135","...124775","'04/24/2002'","BROWARD","5","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"136","...124792","'04/24/2002'","BROWARD","36","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"137","...124805","'04/24/2002'","BROWARD","35","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"138","...124813","'04/24/2002'","BROWARD","49","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"139","...124823","'04/24/2002'","BROWARD","112","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"140","...124830","'04/24/2002'","BROWARD","10","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"141","...124845","'04/24/2002'","BROWARD","14","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"142","...124857","'04/24/2002'","BROWARD","13","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"143","...124871","'04/24/2002'","BROWARD","12","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"144","...124877","'04/24/2002'","BROWARD","89","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"145","...124890","'04/24/2002'","BROWARD","1","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"146","...124908","'04/24/2002'","BROWARD","7","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"147","...124916","'04/24/2002'","BROWARD","7","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"148","...124927","'04/24/2002'","BROWARD","34","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"149","...124932","'04/24/2002'","BROWARD","37","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"150","...124944","'04/24/2002'","BROWARD","11","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"151","...124959","'04/24/2002'","BROWARD","111","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"152","...124964","'04/24/2002'","BROWARD","4","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"153","...124972","'01/31/2002'","BROWARD","17","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"154","...124978","'01/31/2002'","BROWARD","90","Ammonia_plus_Ammonium",0.141,"mg/l",NA,NA,NA
"155","...124985","'01/31/2002'","BROWARD","47","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"156","...125013","'01/31/2002'","BROWARD","41","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"157","...125016","'01/31/2002'","BROWARD","41","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"158","...125019","'01/31/2002'","BROWARD","40","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"159","...125036","'01/31/2002'","BROWARD","38","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"160","...125045","'01/31/2002'","BROWARD","24","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"161","...125050","'01/31/2002'","BROWARD","31","Ammonia_plus_Ammonium",0.108,"mg/l",NA,NA,NA
"162","...125063","'01/31/2002'","BROWARD","39","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"163","...125078","'01/31/2002'","BROWARD","32","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"164","...125090","'01/31/2002'","BROWARD","32","Ammonia_plus_Ammonium",0.199,"mg/l",NA,NA,NA
"165","...125094","'01/31/2002'","BROWARD","28","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"166","...125110","'01/31/2002'","BROWARD","27","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"167","...125123","'01/31/2002'","BROWARD","26","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"168","...125132","'01/31/2002'","BROWARD","25","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"169","...125147","'01/31/2002'","BROWARD","29","Ammonia_plus_Ammonium",0.416,"mg/l",NA,NA,NA
"170","...125148","'01/31/2002'","BROWARD","23","Ammonia_plus_Ammonium",0.343,"mg/l",NA,NA,NA
"171","...125159","'01/31/2002'","BROWARD","16","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"172","...125174","'01/31/2002'","BROWARD","15","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"173","...125187","'01/31/2002'","BROWARD","22","Ammonia_plus_Ammonium",0.661,"mg/l",NA,NA,NA
"174","...125199","'01/31/2002'","BROWARD","21","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"175","...125205","'01/31/2002'","BROWARD","20","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"176","...125220","'01/31/2002'","BROWARD","19","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"177","...125230","'01/31/2002'","BROWARD","18","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"178","...125254","'01/30/2002'","BROWARD","33","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"179","...125255","'01/30/2002'","BROWARD","33","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"180","...125279","'01/30/2002'","BROWARD","110","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"181","...125283","'01/30/2002'","BROWARD","109","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"182","...125300","'01/30/2002'","BROWARD","3","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"183","...125309","'01/30/2002'","BROWARD","2","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"184","...125316","'01/30/2002'","BROWARD","6","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"185","...125329","'01/30/2002'","BROWARD","5","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"186","...125341","'01/30/2002'","BROWARD","36","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"187","...125351","'01/30/2002'","BROWARD","35","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"188","...125365","'01/30/2002'","BROWARD","49","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"189","...125375","'01/30/2002'","BROWARD","112","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"190","...125387","'01/30/2002'","BROWARD","10","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"191","...125395","'01/30/2002'","BROWARD","14","Ammonia_plus_Ammonium",0.256,"mg/l",NA,NA,NA
"192","...125406","'01/30/2002'","BROWARD","13","Ammonia_plus_Ammonium",0.15,"mg/l",NA,NA,NA
"193","...125416","'01/30/2002'","BROWARD","13","Ammonia_plus_Ammonium",0.119,"mg/l",NA,NA,NA
"194","...125426","'01/30/2002'","BROWARD","12","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"195","...125438","'01/30/2002'","BROWARD","89","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"196","...125450","'01/30/2002'","BROWARD","1","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"197","...125465","'01/30/2002'","BROWARD","7","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"198","...125471","'01/30/2002'","BROWARD","34","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"199","...125480","'01/30/2002'","BROWARD","37","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"200","...125496","'01/30/2002'","BROWARD","11","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"201","...125500","'01/30/2002'","BROWARD","111","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"202","...125516","'01/30/2002'","BROWARD","4","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"203","...125519","'01/30/2002'","BROWARD","4","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"204","...125539","'11/08/2001'","BROWARD","47","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"205","...125552","'11/08/2001'","BROWARD","41","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"206","...125559","'11/08/2001'","BROWARD","40","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"207","...125570","'11/08/2001'","BROWARD","40","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"208","...125584","'11/08/2001'","BROWARD","38","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"209","...125588","'11/08/2001'","BROWARD","24","Ammonia_plus_Ammonium",0.189,"mg/l",NA,NA,NA
"210","...125606","'11/08/2001'","BROWARD","31","Ammonia_plus_Ammonium",0.44,"mg/l",NA,NA,NA
"211","...125612","'11/08/2001'","BROWARD","49","Ammonia_plus_Ammonium",0.0781,"mg/l",NA,NA,NA
"212","...125623","'11/08/2001'","BROWARD","39","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"213","...125632","'11/08/2001'","BROWARD","112","Ammonia_plus_Ammonium",0.11,"mg/l",NA,NA,NA
"214","...125650","'11/08/2001'","BROWARD","32","Ammonia_plus_Ammonium",0.163,"mg/l",NA,NA,NA
"215","...125661","'11/08/2001'","BROWARD","28","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"216","...125669","'11/08/2001'","BROWARD","27","Ammonia_plus_Ammonium",0.54,"mg/l",NA,NA,NA
"217","...125682","'11/08/2001'","BROWARD","26","Ammonia_plus_Ammonium",0.228,"mg/l",NA,NA,NA
"218","...125694","'11/08/2001'","BROWARD","25","Ammonia_plus_Ammonium",0.25,"mg/l",NA,NA,NA
"219","...125703","'11/08/2001'","BROWARD","29","Ammonia_plus_Ammonium",0.365,"mg/l",NA,NA,NA
"220","...125711","'11/08/2001'","BROWARD","10","Ammonia_plus_Ammonium",0.0613,"mg/l",NA,NA,NA
"221","...125726","'11/08/2001'","BROWARD","14","Ammonia_plus_Ammonium",0.15,"mg/l",NA,NA,NA
"222","...125729","'11/08/2001'","BROWARD","13","Ammonia_plus_Ammonium",0.0962,"mg/l",NA,NA,NA
"223","...125736","'11/08/2001'","BROWARD","13","Ammonia_plus_Ammonium",0.106,"mg/l",NA,NA,NA
"224","...125759","'11/08/2001'","BROWARD","12","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"225","...125770","'11/08/2001'","BROWARD","23","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"226","...125773","'11/08/2001'","BROWARD","22","Ammonia_plus_Ammonium",0.294,"mg/l",NA,NA,NA
"227","...125788","'11/08/2001'","BROWARD","21","Ammonia_plus_Ammonium",0.213,"mg/l",NA,NA,NA
"228","...125801","'11/08/2001'","BROWARD","11","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"229","...125813","'11/08/2001'","BROWARD","111","Ammonia_plus_Ammonium",0.134,"mg/l",NA,NA,NA
"230","...125817","'11/07/2001'","BROWARD","33","Ammonia_plus_Ammonium",0.107,"mg/l",NA,NA,NA
"231","...125820","'11/07/2001'","BROWARD","33","Ammonia_plus_Ammonium",0.102,"mg/l",NA,NA,NA
"232","...125843","'11/07/2001'","BROWARD","110","Ammonia_plus_Ammonium",0.296,"mg/l",NA,NA,NA
"233","...125858","'11/07/2001'","BROWARD","109","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"234","...125860","'11/07/2001'","BROWARD","90","Ammonia_plus_Ammonium",0.195,"mg/l",NA,NA,NA
"235","...125874","'11/07/2001'","BROWARD","3","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"236","...125882","'11/07/2001'","BROWARD","2","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"237","...125894","'11/07/2001'","BROWARD","6","Ammonia_plus_Ammonium",0.128,"mg/l",NA,NA,NA
"238","...125909","'11/07/2001'","BROWARD","5","Ammonia_plus_Ammonium",0.123,"mg/l",NA,NA,NA
"239","...125921","'11/07/2001'","BROWARD","36","Ammonia_plus_Ammonium",0.0833,"mg/l",NA,NA,NA
"240","...125931","'11/07/2001'","BROWARD","35","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"241","...125939","'11/07/2001'","BROWARD","89","Ammonia_plus_Ammonium",NA,"mg/l",NA,NA,NA
"242","...125950","'11/07/2001'","BROWARD","16","Ammonia_plus_Ammonium",0.204,"mg/l",NA,NA,NA
"243","...125964","'11/07/2001'","BROWARD","16","Ammonia_plus_Ammonium",0.199,"mg/l",NA,NA,NA
