"","X","source","site","datetime","analyte","value","units","latitude","longitude","sample_depth"
"66",114494,"MiamiBeach","13","2020-02-16","Ammonia",NA,"mg/L",NA,NA,NA
"67",114495,"MiamiBeach","12","2020-02-16","Ammonia",0.092,"mg/L",NA,NA,NA
"68",114496,"MiamiBeach","11","2020-02-16","Ammonia",NA,"mg/L",NA,NA,NA
"69",114497,"MiamiBeach","10","2020-02-16","Ammonia",NA,"mg/L",NA,NA,NA
"70",114498,"MiamiBeach","9","2020-02-16","Ammonia",NA,"mg/L",NA,NA,NA
"71",114499,"MiamiBeach","8","2020-02-16","Ammonia",NA,"mg/L",NA,NA,NA
"72",114500,"MiamiBeach","7","2020-02-16","Ammonia",NA,"mg/L",NA,NA,NA
"73",114501,"MiamiBeach","6","2020-02-16","Ammonia",NA,"mg/L",NA,NA,NA
"74",114502,"MiamiBeach","5","2020-02-16","Ammonia",NA,"mg/L",NA,NA,NA
"75",114503,"MiamiBeach","4","2020-02-16","Ammonia",NA,"mg/L",NA,NA,NA
"76",114504,"MiamiBeach","3B","2020-02-16","Ammonia",NA,"mg/L",NA,NA,NA
"77",114505,"MiamiBeach","3","2020-02-16","Ammonia",NA,"mg/L",NA,NA,NA
"78",114506,"MiamiBeach","2","2020-02-16","Ammonia",NA,"mg/L",NA,NA,NA
"79",114507,"MiamiBeach","1","2020-02-16","Ammonia",0.065,"mg/L",NA,NA,NA
"80",114508,"MiamiBeach","35","2020-02-16","Ammonia",NA,"mg/L",NA,NA,NA
"81",114509,"MiamiBeach","41","2020-02-16","Ammonia",NA,"mg/L",NA,NA,NA
"82",114510,"MiamiBeach","40","2020-02-16","Ammonia",NA,"mg/L",NA,NA,NA
"83",114511,"MiamiBeach","39","2020-02-16","Ammonia",NA,"mg/L",NA,NA,NA
"84",114512,"MiamiBeach","38","2020-02-16","Ammonia",NA,"mg/L",NA,NA,NA
"85",114723,"MiamiBeach","1","2020-03-12","Ammonia",NA,"mg/L",NA,NA,NA
"86",114724,"MiamiBeach","2","2020-03-12","Ammonia",NA,"mg/L",NA,NA,NA
"87",114725,"MiamiBeach","3B","2020-03-12","Ammonia",NA,"mg/L",NA,NA,NA
"88",114726,"MiamiBeach","3","2020-03-12","Ammonia",NA,"mg/L",NA,NA,NA
"89",114727,"MiamiBeach","4","2020-03-12","Ammonia",NA,"mg/L",NA,NA,NA
"90",114728,"MiamiBeach","5","2020-03-12","Ammonia",NA,"mg/L",NA,NA,NA
"91",114729,"MiamiBeach","6","2020-03-12","Ammonia",0.057,"mg/L",NA,NA,NA
"92",114730,"MiamiBeach","7","2020-03-12","Ammonia",NA,"mg/L",NA,NA,NA
"93",114731,"MiamiBeach","8","2020-03-12","Ammonia",NA,"mg/L",NA,NA,NA
"94",114732,"MiamiBeach","9","2020-03-12","Ammonia",NA,"mg/L",NA,NA,NA
"95",114733,"MiamiBeach","10","2020-03-12","Ammonia",NA,"mg/L",NA,NA,NA
"96",114734,"MiamiBeach","11","2020-03-12","Ammonia",NA,"mg/L",NA,NA,NA
