"","X","source","site","datetime","analyte","value","units","latitude","longitude","sample_depth"
"70",761,"SFER","57.3","2014-12-03","Salinity",35.95,NA,25.3519,-81.6531,NA
"71",772,"SFER","57.3","2014-12-03","Salinity",35.905,NA,25.3519,-81.6531,NA
"72",783,"SFER","58","2014-12-03","Salinity",35.71,NA,25.167,-81.6536,NA
"73",794,"SFER","58","2014-12-03","Salinity",35.683,NA,25.167,-81.6536,NA
"74",805,"SFER","59","2014-12-03","Salinity",35.67,NA,25.1666,-81.3389,NA
"75",816,"SFER","61","2014-12-04","Salinity",35.467,NA,25.1666,-81.275,NA
"76",827,"SFER","62","2014-12-04","Salinity",34.661,NA,25.1661,-81.2353,NA
"77",838,"SFER","60","2014-12-04","Salinity",35.291,NA,25.1667,-81.3374,NA
"78",849,"SFER","63","2014-12-04","Salinity",33.369,NA,25.1663,-81.1999,NA
"79",860,"SFER","64","2014-12-04","Salinity",31.71,NA,25.1661,-81.1562,NA
"80",871,"SFER","65","2014-12-04","Salinity",31.812,NA,25.0993,-81.0914,NA
"81",882,"SFER","66","2014-12-04","Salinity",31.867,NA,25.068,-81.1096,NA
"82",893,"SFER","67","2014-12-04","Salinity",32.53,NA,25.0293,-81.127,NA
"83",904,"SFER","68","2014-12-04","Salinity",33.804,NA,24.9279,-81.1677,NA
"84",915,"SFER","69","2014-12-04","Salinity",34.111,NA,24.9295,-81.0946,NA
"85",926,"SFER","70","2014-12-04","Salinity",32.987,NA,24.9299,-81.025,NA
"86",937,"SFER","71","2014-12-04","Salinity",32.976,NA,24.9306,-80.9696,NA
"87",948,"SFER","57.2","2014-12-04","Salinity",35.209,NA,25.3518,-81.4913,NA
"88",959,"SFER","57.2","2014-12-04","Salinity",35.21,NA,25.3518,-81.4913,NA
"89",970,"SFER","57.1","2014-12-04","Salinity",35.087,NA,25.3496,-81.3345,NA
"90",981,"SFER","57","2014-12-04","Salinity",34.693,NA,25.3506,-81.2634,NA
"91",992,"SFER","57.1","2014-12-04","Salinity",34.688,NA,25.3506,-81.2634,NA
"92",1003,"SFER","56","2014-12-04","Salinity",33.945,NA,25.349,-81.2248,NA
"93",1014,"SFER","55","2014-12-04","Salinity",33.073,NA,25.3488,-81.1974,NA
"94",1025,"SFER","54","2014-12-04","Salinity",31.083,NA,25.3425,-81.1535,NA
"95",1036,"SFER","6.5","2014-12-05","Salinity",36.142,NA,25.0487,-80.2882,NA
"96",1047,"SFER","6","2014-12-05","Salinity",35.872,NA,25.0657,-80.3148,NA
"97",1058,"SFER","5.5","2014-12-05","Salinity",36.096,NA,25.0784,-80.3336,NA
"98",1069,"SFER","EKOFF","2014-12-05","Salinity",35.939,NA,25.2934,-80.1625,NA
"99",1080,"SFER","8","2015-04-13","Salinity",36.559,NA,24.7914,-80.7414,NA
"100",1091,"SFER","9","2015-04-13","Salinity",36.433,NA,24.7624,-80.7241,NA
"101",1102,"SFER","9","2015-04-13","Salinity",36.463,NA,24.7624,-80.7241,NA
"102",1113,"SFER","9.5","2015-04-13","Salinity",35.601,NA,24.7171,-80.6887,NA
"103",1124,"SFER","9.5","2015-04-13","Salinity",36.413,NA,24.7171,-80.6887,NA
"104",1135,"SFER","9.5","2015-04-13","Salinity",36.427,NA,24.7171,-80.6887,NA
"105",1146,"SFER","9.5","2015-04-13","Salinity",36.425,NA,24.7171,-80.6887,NA
"106",1157,"SFER","9.5","2015-04-13","Salinity",36.298,NA,24.7171,-80.6887,NA
"107",1168,"SFER","10","2015-04-13","Salinity",36.723,NA,24.783,-80.8633,NA
"108",1179,"SFER","11","2015-04-13","Salinity",36.761,NA,24.7533,-80.8459,NA
