"","X","source","datetime","site","analyte","value","units","latitude","longitude","sample_depth"
"1","...162642","BROWARD","'10/31/2002'","90","Ammonia+Ammonium",0.076,"mg/l",NA,NA,NA
"2","...162660","BROWARD","'10/31/2002'","47","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"3","...162672","BROWARD","'10/31/2002'","41","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"4","...162673","BROWARD","'10/31/2002'","41","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"5","...162687","BROWARD","'10/31/2002'","40","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"6","...162698","BROWARD","'10/31/2002'","38","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"7","...162710","BROWARD","'10/31/2002'","24","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"8","...162719","BROWARD","'10/31/2002'","31","Ammonia+Ammonium",0.204,"mg/l",NA,NA,NA
"9","...162733","BROWARD","'10/31/2002'","39","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"10","...162746","BROWARD","'10/31/2002'","32","Ammonia+Ammonium",0.272,"mg/l",NA,NA,NA
"11","...162749","BROWARD","'10/31/2002'","32","Ammonia+Ammonium",0.265,"mg/l",NA,NA,NA
"12","...162768","BROWARD","'10/31/2002'","28","Ammonia+Ammonium",0.131,"mg/l",NA,NA,NA
"13","...162782","BROWARD","'10/31/2002'","27","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"14","...162795","BROWARD","'10/31/2002'","26","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"15","...162806","BROWARD","'10/31/2002'","25","Ammonia+Ammonium",0.0679,"mg/l",NA,NA,NA
"16","...162809","BROWARD","'10/31/2002'","29","Ammonia+Ammonium",0.312,"mg/l",NA,NA,NA
"17","...162825","BROWARD","'10/31/2002'","23","Ammonia+Ammonium",0.289,"mg/l",NA,NA,NA
"18","...162837","BROWARD","'10/31/2002'","16","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"19","...162850","BROWARD","'10/31/2002'","15","Ammonia+Ammonium",0.0734,"mg/l",NA,NA,NA
"20","...162851","BROWARD","'10/31/2002'","22","Ammonia+Ammonium",0.586,"mg/l",NA,NA,NA
"21","...162862","BROWARD","'10/31/2002'","21","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"22","...162878","BROWARD","'10/31/2002'","20","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"23","...162888","BROWARD","'10/31/2002'","19","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"24","...162896","BROWARD","'10/31/2002'","18","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"25","...162914","BROWARD","'10/31/2002'","17","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"26","...162920","BROWARD","'10/30/2002'","33","Ammonia+Ammonium",0.0632,"mg/l",NA,NA,NA
"27","...162933","BROWARD","'10/30/2002'","33","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"28","...162942","BROWARD","'10/30/2002'","110","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"29","...162958","BROWARD","'10/30/2002'","109","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"30","...162966","BROWARD","'10/30/2002'","3","Ammonia+Ammonium",0.133,"mg/l",NA,NA,NA
"31","...162978","BROWARD","'10/30/2002'","2","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"32","...162984","BROWARD","'10/30/2002'","6","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"33","...162998","BROWARD","'10/30/2002'","5","Ammonia+Ammonium",0.0911,"mg/l",NA,NA,NA
"34","...163008","BROWARD","'10/30/2002'","36","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"35","...163025","BROWARD","'10/30/2002'","35","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"36","...163027","BROWARD","'10/30/2002'","49","Ammonia+Ammonium",0.0781,"mg/l",NA,NA,NA
"37","...163043","BROWARD","'10/30/2002'","112","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"38","...163058","BROWARD","'10/30/2002'","10","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"39","...163062","BROWARD","'10/30/2002'","14","Ammonia+Ammonium",0.381,"mg/l",NA,NA,NA
"40","...163079","BROWARD","'10/30/2002'","13","Ammonia+Ammonium",0.228,"mg/l",NA,NA,NA
"41","...163089","BROWARD","'10/30/2002'","12","Ammonia+Ammonium",0.105,"mg/l",NA,NA,NA
"42","...163098","BROWARD","'10/30/2002'","89","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"43","...163115","BROWARD","'10/30/2002'","1","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"44","...163120","BROWARD","'10/30/2002'","1","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"45","...163130","BROWARD","'10/30/2002'","7","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"46","...163142","BROWARD","'10/30/2002'","34","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"47","...163148","BROWARD","'10/30/2002'","37","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"48","...163159","BROWARD","'10/30/2002'","11","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"49","...163177","BROWARD","'10/30/2002'","111","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"50","...163189","BROWARD","'10/30/2002'","4","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"51","...163191","BROWARD","'10/30/2002'","4","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"52","...163207","BROWARD","'07/25/2002'","37","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"53","...163216","BROWARD","'07/25/2002'","89","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"54","...163228","BROWARD","'07/25/2002'","18","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"55","...163241","BROWARD","'07/25/2002'","17","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"56","...163256","BROWARD","'07/25/2002'","36","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"57","...163267","BROWARD","'07/25/2002'","24","Ammonia+Ammonium",0.0739,"mg/l",NA,NA,NA
"58","...163272","BROWARD","'07/25/2002'","16","Ammonia+Ammonium",0.182,"mg/l",NA,NA,NA
"59","...163287","BROWARD","'07/25/2002'","32","Ammonia+Ammonium",0.173,"mg/l",NA,NA,NA
"60","...163291","BROWARD","'07/25/2002'","32","Ammonia+Ammonium",0.18,"mg/l",NA,NA,NA
"61","...163300","BROWARD","'07/25/2002'","25","Ammonia+Ammonium",0.202,"mg/l",NA,NA,NA
"62","...163316","BROWARD","'07/25/2002'","26","Ammonia+Ammonium",0.113,"mg/l",NA,NA,NA
"63","...163328","BROWARD","'07/25/2002'","35","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"64","...163341","BROWARD","'07/25/2002'","29","Ammonia+Ammonium",0.158,"mg/l",NA,NA,NA
"65","...163345","BROWARD","'07/25/2002'","27","Ammonia+Ammonium",0.23,"mg/l",NA,NA,NA
"66","...163357","BROWARD","'07/25/2002'","15","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"67","...163373","BROWARD","'07/25/2002'","34","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"68","...163387","BROWARD","'07/25/2002'","23","Ammonia+Ammonium",0.164,"mg/l",NA,NA,NA
"69","...163395","BROWARD","'07/25/2002'","19","Ammonia+Ammonium",0.144,"mg/l",NA,NA,NA
"70","...163402","BROWARD","'07/25/2002'","28","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"71","...163418","BROWARD","'07/25/2002'","33","Ammonia+Ammonium",0.0812,"mg/l",NA,NA,NA
"72","...163431","BROWARD","'07/25/2002'","22","Ammonia+Ammonium",0.466,"mg/l",NA,NA,NA
"73","...163438","BROWARD","'07/25/2002'","33","Ammonia+Ammonium",0.0768,"mg/l",NA,NA,NA
"74","...163451","BROWARD","'07/25/2002'","20","Ammonia+Ammonium",0.175,"mg/l",NA,NA,NA
"75","...163462","BROWARD","'07/25/2002'","90","Ammonia+Ammonium",0.165,"mg/l",NA,NA,NA
"76","...163470","BROWARD","'07/25/2002'","21","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"77","...163486","BROWARD","'07/24/2002'","41","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"78","...163491","BROWARD","'07/24/2002'","41","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"79","...163502","BROWARD","'07/24/2002'","40","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"80","...163519","BROWARD","'07/24/2002'","109","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"81","...163524","BROWARD","'07/24/2002'","14","Ammonia+Ammonium",0.114,"mg/l",NA,NA,NA
"82","...163538","BROWARD","'07/24/2002'","1","Ammonia+Ammonium",0.071,"mg/l",NA,NA,NA
"83","...163546","BROWARD","'07/24/2002'","4","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"84","...163560","BROWARD","'07/24/2002'","13","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"85","...163565","BROWARD","'07/24/2002'","7","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"86","...163575","BROWARD","'07/24/2002'","47","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"87","...163576","BROWARD","'07/24/2002'","3","Ammonia+Ammonium",0.112,"mg/l",NA,NA,NA
"88","...163604","BROWARD","'07/24/2002'","12","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"89","...163617","BROWARD","'07/24/2002'","39","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"90","...163628","BROWARD","'07/24/2002'","11","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"91","...163636","BROWARD","'07/24/2002'","2","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"92","...163642","BROWARD","'07/24/2002'","112","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"93","...163658","BROWARD","'07/24/2002'","6","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"94","...163672","BROWARD","'07/24/2002'","111","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"95","...163684","BROWARD","'07/24/2002'","38","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"96","...163687","BROWARD","'07/24/2002'","5","Ammonia+Ammonium",0.0608,"mg/l",NA,NA,NA
"97","...163696","BROWARD","'07/24/2002'","1","Ammonia+Ammonium",0.0701,"mg/l",NA,NA,NA
"98","...163707","BROWARD","'07/24/2002'","10","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"99","...163728","BROWARD","'07/24/2002'","110","Ammonia+Ammonium",0.137,"mg/l",NA,NA,NA
"100","...163737","BROWARD","'07/24/2002'","31","Ammonia+Ammonium",0.161,"mg/l",NA,NA,NA
"101","...163747","BROWARD","'07/24/2002'","49","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"102","...163761","BROWARD","'04/25/2002'","90","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"103","...163769","BROWARD","'04/25/2002'","47","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"104","...163783","BROWARD","'04/25/2002'","41","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"105","...163795","BROWARD","'04/25/2002'","40","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"106","...163799","BROWARD","'04/25/2002'","38","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"107","...163805","BROWARD","'04/25/2002'","38","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"108","...163821","BROWARD","'04/25/2002'","24","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"109","...163830","BROWARD","'04/25/2002'","31","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"110","...163840","BROWARD","'04/25/2002'","39","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"111","...163860","BROWARD","'04/25/2002'","32","Ammonia+Ammonium",0.103,"mg/l",NA,NA,NA
"112","...163862","BROWARD","'04/25/2002'","28","Ammonia+Ammonium",0.241,"mg/l",NA,NA,NA
"113","...163876","BROWARD","'04/25/2002'","27","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"114","...163894","BROWARD","'04/25/2002'","26","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"115","...163905","BROWARD","'04/25/2002'","25","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"116","...163911","BROWARD","'04/25/2002'","29","Ammonia+Ammonium",0.252,"mg/l",NA,NA,NA
"117","...163923","BROWARD","'04/25/2002'","23","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"118","...163932","BROWARD","'04/25/2002'","16","Ammonia+Ammonium",0.07,"mg/l",NA,NA,NA
"119","...163947","BROWARD","'04/25/2002'","16","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"120","...163956","BROWARD","'04/25/2002'","15","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"121","...163969","BROWARD","'04/25/2002'","22","Ammonia+Ammonium",0.522,"mg/l",NA,NA,NA
"122","...163979","BROWARD","'04/25/2002'","21","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"123","...163991","BROWARD","'04/25/2002'","20","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"124","...164003","BROWARD","'04/25/2002'","19","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"125","...164008","BROWARD","'04/25/2002'","18","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"126","...164017","BROWARD","'04/25/2002'","17","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"127","...164037","BROWARD","'04/24/2002'","33","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"128","...164044","BROWARD","'04/24/2002'","33","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"129","...164054","BROWARD","'04/24/2002'","110","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"130","...164064","BROWARD","'04/24/2002'","109","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"131","...164076","BROWARD","'04/24/2002'","3","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"132","...164083","BROWARD","'04/24/2002'","3","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"133","...164100","BROWARD","'04/24/2002'","2","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"134","...164106","BROWARD","'04/24/2002'","6","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"135","...164115","BROWARD","'04/24/2002'","5","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"136","...164132","BROWARD","'04/24/2002'","36","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"137","...164145","BROWARD","'04/24/2002'","35","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"138","...164153","BROWARD","'04/24/2002'","49","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"139","...164163","BROWARD","'04/24/2002'","112","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"140","...164170","BROWARD","'04/24/2002'","10","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"141","...164185","BROWARD","'04/24/2002'","14","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"142","...164197","BROWARD","'04/24/2002'","13","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"143","...164211","BROWARD","'04/24/2002'","12","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"144","...164217","BROWARD","'04/24/2002'","89","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"145","...164230","BROWARD","'04/24/2002'","1","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"146","...164248","BROWARD","'04/24/2002'","7","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"147","...164256","BROWARD","'04/24/2002'","7","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"148","...164267","BROWARD","'04/24/2002'","34","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"149","...164272","BROWARD","'04/24/2002'","37","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"150","...164284","BROWARD","'04/24/2002'","11","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"151","...164299","BROWARD","'04/24/2002'","111","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"152","...164304","BROWARD","'04/24/2002'","4","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"153","...164312","BROWARD","'01/31/2002'","17","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"154","...164318","BROWARD","'01/31/2002'","90","Ammonia+Ammonium",0.141,"mg/l",NA,NA,NA
"155","...164325","BROWARD","'01/31/2002'","47","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"156","...164353","BROWARD","'01/31/2002'","41","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"157","...164356","BROWARD","'01/31/2002'","41","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"158","...164359","BROWARD","'01/31/2002'","40","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"159","...164376","BROWARD","'01/31/2002'","38","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"160","...164385","BROWARD","'01/31/2002'","24","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"161","...164390","BROWARD","'01/31/2002'","31","Ammonia+Ammonium",0.108,"mg/l",NA,NA,NA
"162","...164403","BROWARD","'01/31/2002'","39","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"163","...164418","BROWARD","'01/31/2002'","32","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"164","...164430","BROWARD","'01/31/2002'","32","Ammonia+Ammonium",0.199,"mg/l",NA,NA,NA
"165","...164434","BROWARD","'01/31/2002'","28","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"166","...164450","BROWARD","'01/31/2002'","27","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"167","...164463","BROWARD","'01/31/2002'","26","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"168","...164472","BROWARD","'01/31/2002'","25","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"169","...164487","BROWARD","'01/31/2002'","29","Ammonia+Ammonium",0.416,"mg/l",NA,NA,NA
"170","...164488","BROWARD","'01/31/2002'","23","Ammonia+Ammonium",0.343,"mg/l",NA,NA,NA
"171","...164499","BROWARD","'01/31/2002'","16","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"172","...164514","BROWARD","'01/31/2002'","15","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"173","...164527","BROWARD","'01/31/2002'","22","Ammonia+Ammonium",0.661,"mg/l",NA,NA,NA
"174","...164539","BROWARD","'01/31/2002'","21","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"175","...164545","BROWARD","'01/31/2002'","20","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"176","...164560","BROWARD","'01/31/2002'","19","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"177","...164570","BROWARD","'01/31/2002'","18","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"178","...164594","BROWARD","'01/30/2002'","33","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"179","...164595","BROWARD","'01/30/2002'","33","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"180","...164619","BROWARD","'01/30/2002'","110","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"181","...164623","BROWARD","'01/30/2002'","109","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"182","...164640","BROWARD","'01/30/2002'","3","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"183","...164649","BROWARD","'01/30/2002'","2","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"184","...164656","BROWARD","'01/30/2002'","6","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"185","...164669","BROWARD","'01/30/2002'","5","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"186","...164681","BROWARD","'01/30/2002'","36","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"187","...164691","BROWARD","'01/30/2002'","35","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"188","...164705","BROWARD","'01/30/2002'","49","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"189","...164715","BROWARD","'01/30/2002'","112","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"190","...164727","BROWARD","'01/30/2002'","10","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"191","...164735","BROWARD","'01/30/2002'","14","Ammonia+Ammonium",0.256,"mg/l",NA,NA,NA
"192","...164746","BROWARD","'01/30/2002'","13","Ammonia+Ammonium",0.15,"mg/l",NA,NA,NA
"193","...164756","BROWARD","'01/30/2002'","13","Ammonia+Ammonium",0.119,"mg/l",NA,NA,NA
"194","...164766","BROWARD","'01/30/2002'","12","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"195","...164778","BROWARD","'01/30/2002'","89","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"196","...164790","BROWARD","'01/30/2002'","1","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"197","...164805","BROWARD","'01/30/2002'","7","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"198","...164811","BROWARD","'01/30/2002'","34","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"199","...164820","BROWARD","'01/30/2002'","37","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"200","...164836","BROWARD","'01/30/2002'","11","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"201","...164840","BROWARD","'01/30/2002'","111","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"202","...164856","BROWARD","'01/30/2002'","4","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"203","...164859","BROWARD","'01/30/2002'","4","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"204","...164879","BROWARD","'11/08/2001'","47","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"205","...164892","BROWARD","'11/08/2001'","41","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"206","...164899","BROWARD","'11/08/2001'","40","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"207","...164910","BROWARD","'11/08/2001'","40","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"208","...164924","BROWARD","'11/08/2001'","38","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"209","...164928","BROWARD","'11/08/2001'","24","Ammonia+Ammonium",0.189,"mg/l",NA,NA,NA
"210","...164946","BROWARD","'11/08/2001'","31","Ammonia+Ammonium",0.44,"mg/l",NA,NA,NA
"211","...164952","BROWARD","'11/08/2001'","49","Ammonia+Ammonium",0.0781,"mg/l",NA,NA,NA
"212","...164963","BROWARD","'11/08/2001'","39","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"213","...164972","BROWARD","'11/08/2001'","112","Ammonia+Ammonium",0.11,"mg/l",NA,NA,NA
"214","...164990","BROWARD","'11/08/2001'","32","Ammonia+Ammonium",0.163,"mg/l",NA,NA,NA
"215","...165001","BROWARD","'11/08/2001'","28","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"216","...165009","BROWARD","'11/08/2001'","27","Ammonia+Ammonium",0.54,"mg/l",NA,NA,NA
"217","...165022","BROWARD","'11/08/2001'","26","Ammonia+Ammonium",0.228,"mg/l",NA,NA,NA
"218","...165034","BROWARD","'11/08/2001'","25","Ammonia+Ammonium",0.25,"mg/l",NA,NA,NA
"219","...165043","BROWARD","'11/08/2001'","29","Ammonia+Ammonium",0.365,"mg/l",NA,NA,NA
"220","...165051","BROWARD","'11/08/2001'","10","Ammonia+Ammonium",0.0613,"mg/l",NA,NA,NA
"221","...165066","BROWARD","'11/08/2001'","14","Ammonia+Ammonium",0.15,"mg/l",NA,NA,NA
"222","...165069","BROWARD","'11/08/2001'","13","Ammonia+Ammonium",0.0962,"mg/l",NA,NA,NA
"223","...165076","BROWARD","'11/08/2001'","13","Ammonia+Ammonium",0.106,"mg/l",NA,NA,NA
"224","...165099","BROWARD","'11/08/2001'","12","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"225","...165110","BROWARD","'11/08/2001'","23","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"226","...165113","BROWARD","'11/08/2001'","22","Ammonia+Ammonium",0.294,"mg/l",NA,NA,NA
"227","...165128","BROWARD","'11/08/2001'","21","Ammonia+Ammonium",0.213,"mg/l",NA,NA,NA
"228","...165141","BROWARD","'11/08/2001'","11","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"229","...165153","BROWARD","'11/08/2001'","111","Ammonia+Ammonium",0.134,"mg/l",NA,NA,NA
"230","...165157","BROWARD","'11/07/2001'","33","Ammonia+Ammonium",0.107,"mg/l",NA,NA,NA
"231","...165160","BROWARD","'11/07/2001'","33","Ammonia+Ammonium",0.102,"mg/l",NA,NA,NA
"232","...165183","BROWARD","'11/07/2001'","110","Ammonia+Ammonium",0.296,"mg/l",NA,NA,NA
"233","...165198","BROWARD","'11/07/2001'","109","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"234","...165200","BROWARD","'11/07/2001'","90","Ammonia+Ammonium",0.195,"mg/l",NA,NA,NA
"235","...165214","BROWARD","'11/07/2001'","3","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"236","...165222","BROWARD","'11/07/2001'","2","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"237","...165234","BROWARD","'11/07/2001'","6","Ammonia+Ammonium",0.128,"mg/l",NA,NA,NA
"238","...165249","BROWARD","'11/07/2001'","5","Ammonia+Ammonium",0.123,"mg/l",NA,NA,NA
"239","...165261","BROWARD","'11/07/2001'","36","Ammonia+Ammonium",0.0833,"mg/l",NA,NA,NA
"240","...165271","BROWARD","'11/07/2001'","35","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"241","...165279","BROWARD","'11/07/2001'","89","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"242","...165290","BROWARD","'11/07/2001'","16","Ammonia+Ammonium",0.204,"mg/l",NA,NA,NA
"243","...165304","BROWARD","'11/07/2001'","16","Ammonia+Ammonium",0.199,"mg/l",NA,NA,NA
"244","...165310","BROWARD","'11/07/2001'","15","Ammonia+Ammonium",0.135,"mg/l",NA,NA,NA
"245","...165321","BROWARD","'11/07/2001'","1","Ammonia+Ammonium",0.0949,"mg/l",NA,NA,NA
"246","...165345","BROWARD","'11/07/2001'","7","Ammonia+Ammonium",0.156,"mg/l",NA,NA,NA
"247","...165347","BROWARD","'11/07/2001'","7","Ammonia+Ammonium",0.12,"mg/l",NA,NA,NA
"248","...165358","BROWARD","'11/07/2001'","20","Ammonia+Ammonium",0.272,"mg/l",NA,NA,NA
"249","...165375","BROWARD","'11/07/2001'","37","Ammonia+Ammonium",0.0668,"mg/l",NA,NA,NA
"250","...165378","BROWARD","'11/07/2001'","19","Ammonia+Ammonium",0.121,"mg/l",NA,NA,NA
"251","...165397","BROWARD","'11/07/2001'","18","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"252","...165401","BROWARD","'11/07/2001'","17","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"253","...165415","BROWARD","'11/07/2001'","4","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"254","...165420","BROWARD","'07/19/2001'","18","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"255","...165440","BROWARD","'07/19/2001'","24","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
"256","...165447","BROWARD","'07/19/2001'","17","Ammonia+Ammonium",NA,"mg/l",NA,NA,NA
